EmployeeID,F_Name,L_Name,Hire_Date,Job_TitleID,PhoneNumber,Email,ManagerID
1,Josephine,Boyle,2002-03-11,104,(903) 818-0623,petu_lowada62@gmail.com,226
2,Robin,Gallagher,2004-09-30,81,(505) 766-2417,biseviz_ani57@mail.com,224
3,Elliott,Kirk,2014-02-19,46,(768) 296-5527,ladibuv-ata2@hotmail.com,84
4,Alessandro,Hutchinson,2009-12-11,58,(798) 715-8009,lumamik_awu58@aol.com,42
5,Jamie,Conner,2010-05-18,2,(710) 205-2954,keso-kuvizu52@mail.com,71
6,Phillip,Lambert,2021-11-05,11,(606) 499-6026,kig-idetuge67@yahoo.com,206
7,Nina,Friedman,2024-04-23,97,(927) 922-1100,wuduxu-nasu74@hotmail.com,12
8,Darwin,Campos,2023-02-26,111,(622) 636-2545,cup-ivowuxi91@aol.com,168
9,Sutton,Bradshaw,2024-10-11,44,(600) 832-1743,ponuvi_lexo60@hotmail.com,52
10,Emory,Good,2025-07-07,108,(205) 869-0311,havewud_ice10@yahoo.com,281
11,Nathalia,Davenport,2003-02-07,13,(335) 395-9359,dapifa_ruka84@mail.com,223
12,Dariel,Morrow,2002-02-13,96,(614) 990-5436,raseg_ikomu86@gmail.com,225
13,Reyna,Preston,2011-01-15,22,(393) 340-5072,muwarem_eku1@mail.com,32
14,Vincenzo,McKenzie,2009-09-03,54,(589) 576-0771,hudi_wevahu59@yahoo.com,61
15,Briar,Montes,2017-02-24,54,(729) 261-7590,cugik_asana13@outlook.com,201
16,Darren,Reid,2022-06-28,27,(906) 455-5038,pekel_iwiji19@yahoo.com,93
17,Charlee,Warner,2023-04-01,7,(827) 996-0130,kotox_ehaya96@yahoo.com,163
18,Jaxton,Fields,2023-02-24,101,(805) 228-0180,zeyel_adoji78@outlook.com,274
19,Annie,Whitney,2025-01-17,99,(876) 302-4045,zag-ujojomo15@aol.com,12
20,Jeffery,Rosario,2025-07-13,112,(399) 458-9640,fetol_agigi37@aol.com,168
21,Louisa,Nicholson,2003-03-21,17,(514) 714-5009,ceramo-wuco90@yahoo.com,223
22,Rodrigo,Reid,2004-06-07,73,(997) 391-2984,gat_abaxino92@mail.com,224
23,Charlee,Murphy,2020-12-17,70,(664) 271-7478,nojat_alubo89@aol.com,31
24,Cameron,Middleton,2018-05-19,66,(265) 286-5886,muga_lefuja29@yahoo.com,103
25,Madalyn,Lynch,2005-06-25,6,(580) 708-5765,cow_enupudi13@gmail.com,163
26,Zane,Lester,2012-09-29,58,(830) 754-6250,xegaf-ivaxu88@hotmail.com,104
27,Averi,Nichols,2023-12-07,59,(841) 530-3351,sizuyuz-emo34@yahoo.com,104
28,Atlas,Archer,2023-11-27,51,(376) 998-6836,milu_visiga32@aol.com,227
29,Kadence,Woods,2025-06-12,64,(578) 337-4734,rakulen_uva41@mail.com,273
30,Zion,Booker,2025-03-10,16,(846) 266-5045,yamobo_fani17@outlook.com,11
31,Nataly,Cooper,2004-05-09,69,(266) 246-6726,poxam-azeju79@yahoo.com,223
